;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
283;EXCLUIDA;d74b3e9757144bbf51198784155a6ade;;92127264.0;1239412;;;;;
284;APROVADO;43698cea59f51d934a0f0e61b9d2112c;0.0;92127264.0;1239412;7.0;7.30000019;2.0;f;1.0
285;APROVADO;43698cea59f51d934a0f0e61b9d2112c;0.0;92127264.0;1239412;7.0;8.10000038;2.0;f;2.0
286;APROVADO;43698cea59f51d934a0f0e61b9d2112c;0.0;92127264.0;1239412;7.0;5.5;2.0;f;3.0
287;EXCLUIDA;515f232c90b19e1014be58aeb8b56266;;92127264.0;1239412;;;;;
288;EXCLUIDA;43698cea59f51d934a0f0e61b9d2112c;;92127264.0;1239412;;;;;
289;APROVADO POR NOTA;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1239413;5.1;0.0;16.0;t;1.0
290;APROVADO POR NOTA;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1239413;5.1;4.69999981;16.0;f;2.0
291;APROVADO POR NOTA;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1239413;5.1;4.5;16.0;f;3.0
292;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1239413;9.3;9.5;4.0;f;2.0
293;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1239413;9.3;8.5;4.0;f;3.0
294;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1239413;9.3;10.0;4.0;f;1.0
295;REPROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1239413;4.8;3.0;4.0;f;1.0
296;REPROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1239413;4.8;4.5;4.0;f;2.0
297;REPROVADO;768519e21c9db3641c7c0d26e55d5574;0.0;92127264.0;1239413;4.8;6.80000019;4.0;f;3.0
298;APROVADO POR NOTA;59d9aee9a3b15f0b735e28fe4a692a8e;0.0;92127264.0;1239413;5.0;3.0;8.0;f;1.0
299;APROVADO POR NOTA;59d9aee9a3b15f0b735e28fe4a692a8e;0.0;92127264.0;1239413;5.0;8.0;8.0;f;2.0
300;APROVADO POR NOTA;59d9aee9a3b15f0b735e28fe4a692a8e;0.0;92127264.0;1239413;5.0;2.29999995;8.0;t;3.0
301;EXCLUIDA;768519e21c9db3641c7c0d26e55d5574;;92127264.0;1239413;;;;;
302;EXCLUIDA;9f2893d97c3dc2cf63f5501959e73bed;;92127264.0;1239413;;;;;
303;EXCLUIDA;d624069cd2691821d497421eae79b0bc;;92127264.0;1239413;;;;;
304;EXCLUIDA;49f2cf9cba9f712bc1ffeddd47b8907f;;92127264.0;1239413;;;;;
305;REPROVADO;606187e0dfc21c1f377ad6df3a68e274;0.0;92127264.0;1239413;3.0;3.79999995;10.0;f;1.0
