,id_turma,codigo,nome_ascii,docente_interno,docente_externo,nivel_ensino,ano,periodo,capacidade_aluno,local,data_inicio,data_fim,codigo_turma,descricao_horario,observacao,distancia,tipo,data_consolidacao,agrupadora,qtd_aulas_lancadas,situacao_turma,convenio,modalidade_participantes,campus_turma,Unnamed: 24
5534,57597572,IMD0012.0,INTRODUCAO AS TECNICAS DE PROGRAMACAO,bd83fec27f143604caebc18df980a020,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,03,35T34 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 19:11:16.498,f,70.0,CONSOLIDADA,,Presencial,Campus Central,
5535,57597573,IMD0012.0,INTRODUCAO AS TECNICAS DE PROGRAMACAO,c07b5e1b28c00dedd00e756ed6383932,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,04,35N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 18:19:34.46,f,66.0,CONSOLIDADA,,Presencial,Campus Central,
5536,57597573,IMD0012.0,INTRODUCAO AS TECNICAS DE PROGRAMACAO,e9851b333deffb82f109245f0caf9806,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,04,35N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 18:19:34.46,f,66.0,CONSOLIDADA,,Presencial,Campus Central,
5541,57597576,IMD0012.1,PRATICAS DE TECNICAS DE PROGRAMACAO,25225d10ed027308160cd2d0ea75e91a,,GRADUAÇÃO,2017,1,40.0,A307,2017-02-13,2017-07-01,01,3M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 14:13:53.591,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
5542,57597577,IMD0012.1,PRATICAS DE TECNICAS DE PROGRAMACAO,aa9eece836ff5dd9c89cd50ee70ba08b,,GRADUAÇÃO,2017,1,40.0,A304,2017-02-13,2017-07-01,02,5M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 19:07:21.411,f,34.0,CONSOLIDADA,,Presencial,Campus Central,
5545,57597579,IMD0012.1,PRATICAS DE TECNICAS DE PROGRAMACAO,bd83fec27f143604caebc18df980a020,,GRADUAÇÃO,2017,1,41.0,A305,2017-02-13,2017-07-01,03,3T56 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 19:13:41.387,f,36.0,CONSOLIDADA,,Presencial,Campus Central,
5546,57597580,IMD0012.1,PRATICAS DE TECNICAS DE PROGRAMACAO,e9851b333deffb82f109245f0caf9806,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,04,5N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 18:25:24.088,f,34.0,CONSOLIDADA,,Presencial,Campus Central,
5547,57597581,IMD0024,CALCULO DIFERENCIAL E INTEGRAL I,ea802f508eaac3b2c26f93500786f22e,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,01,246M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 09:55:46.764,f,110.0,CONSOLIDADA,,Presencial,Campus Central,
5548,57597582,IMD0024,CALCULO DIFERENCIAL E INTEGRAL I,512dc0ac286524e13896e60974223097,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,02,246T12 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 16:22:01.049,f,108.0,CONSOLIDADA,,Presencial,Campus Central,
5549,57597583,IMD0024,CALCULO DIFERENCIAL E INTEGRAL I,512dc0ac286524e13896e60974223097,,GRADUAÇÃO,2017,1,60.0,A308 - CIVT,2017-02-13,2017-07-01,03,246N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 15:45:25.009,f,110.0,CONSOLIDADA,,Presencial,Campus Central,
5550,57597584,IMD0027,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES II,5dd4ddcc0730032618c91a0b90cdb071,,GRADUAÇÃO,2017,1,60.0,B203 - CIVT,2017-02-13,2017-07-01,01,5T56 (13/02/2017 - 01/07/2017),,f,1,2017-07-06 00:54:59.806,f,38.0,CONSOLIDADA,,Presencial,Campus Central,
5569,57597591,IMD0027,PRATICAS DE LEITURA E ESCRITA EM PORTUGUES II,5dd4ddcc0730032618c91a0b90cdb071,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,02,2N12 (13/02/2017 - 01/07/2017),,f,1,,f,,EXCLUÍDA,,Presencial,Campus Central,
5570,57597592,IMD0028,FUNDAMENTOS MATEMATICOS DA COMPUTACAO I,014ec19f7505af82a85fd57100dc4807,,GRADUAÇÃO,2017,1,73.0,A306 - CIVT,2017-02-13,2017-07-01,01,246M56 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 17:40:45.318,f,108.0,CONSOLIDADA,,Presencial,Campus Central,
5571,57597593,IMD0028,FUNDAMENTOS MATEMATICOS DA COMPUTACAO I,7566efce6246d381c7a74eaaf02726c1,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,02,246T56 (13/02/2017 - 01/07/2017),,f,1,,f,,EXCLUÍDA,,Presencial,Campus Central,
5572,57597594,IMD0028,FUNDAMENTOS MATEMATICOS DA COMPUTACAO I,7566efce6246d381c7a74eaaf02726c1,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,03,246N34 (13/02/2017 - 01/07/2017),,f,1,,f,,EXCLUÍDA,,Presencial,Campus Central,
5573,57597595,IMD0034,VETORES E GEOMETRIA ANALITICA,ea802f508eaac3b2c26f93500786f22e,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,01,24M12 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 22:55:35.216,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
5574,57597596,IMD0034,VETORES E GEOMETRIA ANALITICA,ea802f508eaac3b2c26f93500786f22e,,GRADUAÇÃO,2017,1,60.0,A306 - CIVT,2017-02-13,2017-07-01,02,24T34 (13/02/2017 - 01/07/2017),,f,1,,f,,EXCLUÍDA,,Presencial,Campus Central,
5575,57597598,IMD0029,ESTRUTURA DE DADOS BASICAS I,6873acde1de14b806d03eb35bdf59b1b,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,01,35M12 (13/02/2017 - 01/07/2017),,f,1,2017-07-06 19:06:28.706,f,70.0,CONSOLIDADA,,Presencial,Campus Central,
5713,57597708,IMD0029,ESTRUTURA DE DADOS BASICAS I,720215bd5ef08b0421b32b1c66b02ee7,,GRADUAÇÃO,2017,1,42.0,A306,2017-02-13,2017-07-01,02,35T34 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 16:59:21.532,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
5714,57597710,IMD0029,ESTRUTURA DE DADOS BASICAS I,84db41d37e5dd55e693b4a45110a5e5b,,GRADUAÇÃO,2017,1,32.0,A307,2017-02-13,2017-07-01,04,35N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-06 19:01:37.897,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
5728,57597718,IMD0030,LINGUAGEM DE PROGRAMACAO I,6873acde1de14b806d03eb35bdf59b1b,,GRADUAÇÃO,2017,1,40.0,A309,2017-02-13,2017-07-01,01,35M34 (13/02/2017 - 01/07/2017),,f,1,2017-07-01 11:16:06.118,f,68.0,CONSOLIDADA,,Presencial,Campus Central,
5729,57597719,IMD0030,LINGUAGEM DE PROGRAMACAO I,c509afa8395e7a3a4f36a5e45b9702d9,,GRADUAÇÃO,2017,1,43.0,A307,2017-02-13,2017-07-01,02,35T12 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 19:14:48.526,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
5730,57597719,IMD0030,LINGUAGEM DE PROGRAMACAO I,bd83fec27f143604caebc18df980a020,,GRADUAÇÃO,2017,1,43.0,A307,2017-02-13,2017-07-01,02,35T12 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 19:14:48.526,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
